"filename", "language", "PHP", "HTML", "CSS", "SQL", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\Bedriftsportalen\CRUD\Create-ansatte.php", "PHP", 87, 0, 0, 0, 0, 0, 7, 94
"c:\xampp\htdocs\Bedriftsportalen\CRUD\Create-bedrift.php", "PHP", 129, 0, 0, 0, 0, 4, 17, 150
"c:\xampp\htdocs\Bedriftsportalen\CRUD\Detailed-view-ansatte.php", "PHP", 83, 0, 0, 0, 0, 11, 13, 107
"c:\xampp\htdocs\Bedriftsportalen\CRUD\Detailed-view-bedrift.php", "PHP", 80, 0, 0, 0, 0, 11, 10, 101
"c:\xampp\htdocs\Bedriftsportalen\CRUD\Edit-ansatt.php", "PHP", 123, 0, 0, 0, 0, 0, 40, 163
"c:\xampp\htdocs\Bedriftsportalen\CRUD\Edit-bedrift.php", "PHP", 111, 0, 0, 0, 0, 8, 21, 140
"c:\xampp\htdocs\Bedriftsportalen\CRUD\Read.php", "PHP", 176, 0, 0, 0, 0, 10, 12, 198
"c:\xampp\htdocs\Bedriftsportalen\CRUD\Update.php", "PHP", 20, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\Bedriftsportalen\CRUD\alle_ansatte.php", "PHP", 70, 0, 0, 0, 0, 0, 12, 82
"c:\xampp\htdocs\Bedriftsportalen\CRUD\alle_bedrifter.php", "PHP", 88, 0, 0, 0, 0, 4, 15, 107
"c:\xampp\htdocs\Bedriftsportalen\CRUD\confirmdelete.php", "PHP", 39, 0, 0, 0, 0, 0, 4, 43
"c:\xampp\htdocs\Bedriftsportalen\CRUD\connect.php", "PHP", 13, 0, 0, 0, 0, 4, 4, 21
"c:\xampp\htdocs\Bedriftsportalen\CRUD\getBedriftSuggestions.php", "PHP", 24, 0, 0, 0, 0, 16, 11, 51
"c:\xampp\htdocs\Bedriftsportalen\CRUD\getPoststed.php", "PHP", 16, 0, 0, 0, 0, 8, 4, 28
"c:\xampp\htdocs\Bedriftsportalen\CRUD\searchBedrift.php", "PHP", 21, 0, 0, 0, 0, 12, 7, 40
"c:\xampp\htdocs\Bedriftsportalen\Innlogging\Login.php", "PHP", 104, 0, 0, 0, 0, 17, 20, 141
"c:\xampp\htdocs\Bedriftsportalen\Innlogging\Registration.php", "PHP", 67, 0, 0, 0, 0, 0, 10, 77
"c:\xampp\htdocs\Bedriftsportalen\Innlogging\logout.php", "PHP", 6, 0, 0, 0, 0, 0, 5, 11
"c:\xampp\htdocs\Bedriftsportalen\Innlogging\signup.php", "PHP", 59, 0, 0, 0, 0, 19, 16, 94
"c:\xampp\htdocs\Bedriftsportalen\Innlogging\welcome.php", "PHP", 23, 0, 0, 0, 0, 3, 3, 29
"c:\xampp\htdocs\Bedriftsportalen\JavaScript\bedrift_search.js", "JavaScript", 0, 0, 0, 0, 24, 5, 3, 32
"c:\xampp\htdocs\Bedriftsportalen\JavaScript\bedrift_suggestion.js", "JavaScript", 0, 0, 0, 0, 37, 6, 5, 48
"c:\xampp\htdocs\Bedriftsportalen\JavaScript\delete_confirmation.js", "JavaScript", 0, 0, 0, 0, 12, 0, 1, 13
"c:\xampp\htdocs\Bedriftsportalen\JavaScript\post.js", "JavaScript", 0, 0, 0, 0, 15, 2, 1, 18
"c:\xampp\htdocs\Bedriftsportalen\JavaScript\script.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 6
"c:\xampp\htdocs\Bedriftsportalen\bedriftsportalen_db.sql", "SQL", 0, 0, 0, 82, 0, 75, 37, 194
"c:\xampp\htdocs\Bedriftsportalen\footer.php", "PHP", 15, 0, 0, 0, 0, 1, 3, 19
"c:\xampp\htdocs\Bedriftsportalen\index.php", "PHP", 161, 0, 0, 0, 0, 13, 28, 202
"c:\xampp\htdocs\Bedriftsportalen\navbar.php", "PHP", 23, 0, 0, 0, 0, 1, 3, 27
"c:\xampp\htdocs\Bedriftsportalen\stylesheets\Registration.css", "CSS", 0, 0, 181, 0, 0, 0, 2, 183
"c:\xampp\htdocs\Bedriftsportalen\stylesheets\ansatt_bedrift_edit.css", "CSS", 0, 0, 34, 0, 0, 5, 5, 44
"c:\xampp\htdocs\Bedriftsportalen\stylesheets\stylesheet.css", "CSS", 0, 0, 407, 0, 0, 3, 93, 503
"c:\xampp\htdocs\Bedriftsportalen\terms_of_service.html", "HTML", 0, 38, 0, 0, 0, 0, 2, 40
"c:\xampp\htdocs\Bedriftsportalen\terms_of_service.php", "PHP", 83, 0, 0, 0, 0, 0, 7, 90
"Total", "-", 1621, 38, 622, 82, 94, 238, 425, 3120